FID_Indore,FID_all_Gr,GRID_ID,Shape_Leng,OBJECTID_1,GRID_ID_1,ZONE_CODE,COUNT,AREA,MEAN,OID_,GRID_ID_12,sum_Road_l,sum_Length,Polyline_C,sum_Transp,Point_Coun,sum_Nos,Point_Co_1,sum_Nos_1,Point_Co_2,School_Nos,Shape_Le_1,Shape_Ar_1,sum_Health,Point_Co_3,Shape_Le_2,Shape_Area,Direction
1,6372,ED-214,2999.955996,4408,ED-214,4408,1,6.94444E-05,4024.105713,54693,,1.139482245,1.13960827,9,0,0,0,0,0,0,0,2999.955996,649499.99886200000,0,0,0.017039884,9.99623E-06,South_West
1,6373,EE-214,2999.955996,0,EE-214,0,0,0,0,54694,,4.754265523,4.754161286,33,0,0,0,0,0,0,0,2999.955996,649499.99886200000,1,1,0.020071071,2.22384E-05,South_West
1,6374,EF-214,2999.955996,4409,EF-214,4409,1,6.94444E-05,9912.084961,54695,,8.74892991,8.748823582,56,0,0,0,1,0,0,1,2999.955996,649499.99886200000,0,0,0.025921626,4.8375E-05,South_West
1,6375,EG-214,2999.955996,0,EG-214,0,0,0,0,54696,,13.61632141,13.61431816,103,1,0,0,1,0,0,1,2999.955996,649499.99886200000,0,0,0.025921945,4.83763E-05,South_West
1,6376,EH-214,2999.955996,4410,EH-214,4410,2,0.000138889,9407.250977,54697,,10.81941458,10.82068577,93,0,0,0,0,0,0,0,2999.955996,649499.99886200000,0,0,0.025921626,4.8375E-05,South_West
1,6377,EI-214,2999.955996,0,EI-214,0,0,0,0,54698,,8.192097781,8.190909078,54,0,0,0,0,0,0,0,2999.955996,649499.99886200000,0,0,0.025921945,4.83763E-05,South_West
1,6378,EJ-214,2999.955996,4411,EJ-214,4411,1,6.94444E-05,6107.234375,54699,,13.41908176,13.41865931,97,0,0,0,0,0,0,0,2999.955996,649499.99886200000,0,0,0.025921626,4.8375E-05,South_West
1,6379,EK-214,2999.955996,0,EK-214,0,0,0,0,54700,,11.46568041,11.46573678,64,0,0,0,0,0,0,0,2999.955996,649499.99886200000,0,0,0.025921943,4.83762E-05,South_West
1,6380,EL-214,2999.955996,4412,EL-214,4412,1,6.94444E-05,3244.978516,54701,,6.480914495,6.48041135,45,0,0,0,0,0,0,0,2999.955996,649499.99886200000,0,0,0.025921626,4.8375E-05,South_West
1,6381,EM-214,2999.955996,0,EM-214,0,0,0,0,54702,,5.225251163,5.225622882,32,0,0,0,0,0,0,0,2999.955996,649499.99886200000,0,0,0.025921945,4.83763E-05,South_West
1,6382,EN-214,2999.955996,4413,EN-214,4413,1,6.94444E-05,2491.509277,54703,,6.124422054,6.123883608,33,0,0,0,0,0,0,0,2999.955996,649499.99886200000,0,0,0.025921626,4.8375E-05,South_West
1,6383,EO-214,2999.955996,0,EO-214,0,0,0,0,54704,,2.280141538,2.280201904,14,0,0,0,0,0,0,0,2999.955996,649499.99886200000,0,0,0.025921945,4.83763E-05,South_West
1,6384,EP-214,2999.955996,4414,EP-214,4414,1,6.94444E-05,4396.529785,54705,,4.658962905,4.659015145,31,0,0,0,0,0,0,0,2999.955996,649499.99886200000,1,1,0.025921624,4.8375E-05,South_West
1,6385,EQ-214,2999.955996,0,EQ-214,0,0,0,0,54706,,2.459784877,2.460228227,21,0,0,0,0,0,0,0,2999.955996,649499.99886200000,0,0,0.025921945,4.83763E-05,South_West
1,6386,ER-214,2999.955996,4415,ER-214,4415,1,6.94444E-05,5806.915527,54707,,7.178611674,7.178731342,39,0,0,0,0,0,0,0,2999.955996,649499.99886200000,1,1,0.025921626,4.8375E-05,South_West
1,6387,ES-214,2999.955996,0,ES-214,0,0,0,0,54708,,6.525859579,6.5259178,42,0,0,0,0,1,1,1,2999.955996,649499.99886200000,0,0,0.025921945,4.83763E-05,South_East
1,6388,ET-214,2999.955996,4416,ET-214,4416,1,6.94444E-05,4122.061035,54709,,8.504117988,8.503483477,43,0,0,0,0,0,0,0,2999.955996,649499.99886200000,0,0,0.025921626,4.8375E-05,South_East
1,6389,EU-214,2999.955996,0,EU-214,0,0,0,0,54710,,3.594593314,3.594951958,31,0,0,0,0,0,0,0,2999.955996,649499.99886200000,0,0,0.025921945,4.83763E-05,South_East
1,6390,EV-214,2999.955996,4417,EV-214,4417,1,6.94444E-05,1589.244507,54711,,3.249383028,3.248922199,16,0,0,0,0,0,0,0,2999.955996,649499.99886200000,0,0,0.025921624,4.8375E-05,South_East
1,6391,EW-214,2999.955996,0,EW-214,0,0,0,0,54712,,1.62626022,1.626575029,3,0,0,0,0,0,0,0,2999.955996,649499.99886200000,0,0,0.025921945,4.83763E-05,South_East
1,6392,EX-214,2999.955996,4418,EX-214,4418,1,6.94444E-05,1195.503052,54713,,3.520198976,3.519337795,19,0,0,0,0,0,0,0,2999.955996,649499.99886200000,0,0,0.025921626,4.8375E-05,South_East
1,6393,EY-214,2999.955996,0,EY-214,0,0,0,0,54714,,4.17849632,4.178624167,24,0,0,0,0,0,0,0,2999.955996,649499.99886200000,0,0,0.025921945,4.83763E-05,South_East
1,6394,EZ-214,2999.955996,4419,EZ-214,4419,1,6.94444E-05,1062.232422,54715,,4.734372327,4.735124328,26,0,0,0,0,0,0,0,2999.955996,649499.99886200000,0,0,0.025921626,4.8375E-05,South_East
1,6395,FA-214,2999.955996,0,FA-214,0,0,0,0,54716,,4.12483901,4.125404899,21,0,0,0,0,0,0,0,2999.955996,649499.99886200000,0,0,0.025921943,4.83762E-05,South_East
1,6396,FB-214,2999.955996,4420,FB-214,4420,1,6.94444E-05,874.6907349,54717,,3.112634952,3.111964528,20,0,0,0,0,0,0,0,2999.955996,649499.99886200000,0,0,0.025921626,4.8375E-05,South_East
